,movie,vid_ids,views,likes,dislikes,comments
1213,Aliens vs Predator: Requiem,YrTXTb03Ixc,1029818,2107,189,570
1214,Ri¢hie Ri¢h,D7tpKFqf4po,186240,918,28,0
1215,Autumn in New York,_8qQOt9Va-U,252101,1059,38,36
1216,Music and Lyrics,4C6sSZlVKZE,1204428,5415,131,146
1217,Paul,BJxlNYb8sJQ,979650,5744,188,237
1218,The Guilt Trip,7FMQLzOq1i4,860592,1538,165,294
1219,Scream 4,JKRtyVLWV-E,470853,4278,108,557
1220,8MM,mjIGbTTw3i8,278650,1559,47,181
1221,The Doors,IERQmR2qESU,923655,6635,138,457
1222,Sex Tape,-fQvyfn3wbE,6672179,14363,1434,308
1223,Hanging Up,w-5Cbu7QLDI,194653,858,32,46
1224,Final Destination 5,PI87-0g_SI8,1964615,9367,399,421
1225,Mickey Blue Eyes,AOh-F4PKwjU,246670,570,31,27
1226,Pay It Forward,qfW0wCV9iFI,1009548,5230,166,290
1227,Fever Pitch,i6eAxkn2_L4,701543,4847,136,152
1228,Drillbit Taylor,j3-_AgJnTyo,107256,,,
1229,A Million Ways to Die in the West,LhmP8UYtipA,4091513,15794,688,928
1230,The Shadow,l0lbmUaooSw,114483,911,29,119
1231,Extremely Loud & Incredibly Close,jgp8rR2fykU,721112,3559,117,192
1232,Morning Glory,s9lWUqraDoU,6360366,8837,360,1357
1233,Get Rich or Die Tryin',hG46_SvgtRI,1978164,8183,253,291
1234,The Art of War,rKFmSpB-uGQ,194886,660,54,69
1235,Rent,KGciEYSshrQ,59618,669,9,32
1236,Bless the Child,aTql8BUhYbo,29269,241,10,21
1237,The Out-of-Towners,erByzW27zEM,133569,397,30,46
1238,The Island of Dr. Moreau,5QagEozqPZs,691759,,,360
1239,The Musketeer,gFnSmS-SUXQ,130486,384,29,66
1240,The Other Boleyn Girl,M44ZHmPoLSU,922799,5260,140,283
1241,Sweet November,A7hkvdyG8x4,1002272,3896,98,204
1242,The Reaping,azPO6c8L9zQ,277922,1071,88,70
1243,Mean Streets,g9xHpS10CZ0,192007,1044,22,139
1244,Renaissance Man,CTqBnryhbko,1422,10,0,2
1245,Colombiana,HCxPLlFWdFo,6702318,20479,1326,2062
1246,Quest for Camelot,GEQVbSRJrVk,245242,1619,39,0
1247,City By The Sea,W5SKcTTd350,78971,174,12,22
1248,At First Sight,wvI4HvGvHyA,167726,716,15,79
1249,Torque,olxto6CgFPo,407563,964,77,69
1250,City Hall,3q_EN0iox_I,9275,73,1,4
1251,Showgirls,kCuVR_kV4rc,259282,593,63,85
1252,Marie Antoinette,yBWyKRoh98U,3883502,34399,886,1450
1253,Kiss of Death,OzDKmB6bfQQ,210744,477,41,72
1254,Get Carter,kV4XrUDBlfM,190626,962,28,146
1255,The Impossible,Bgw394ZKsis,16672540,75940,2139,8257
1256,Ishtar,JpOvc--uKMo,40329,491,14,132
1257,Fantastic Mr. Fox,n2igjYFojUo,7377299,28028,1186,3144
1258,Life or Something Like It,R6fKbcjAxJY,386967,1228,49,78
1259,Memoirs of an Invisible Man,U4qLE7gRmfI,61905,430,7,61
1260,Amélie,HUECWi5pX7o,3452564,18793,489,1060
1261,New York Minute,nB9VyKVHKKw,2075240,17145,320,412
1262,Alfie,T-whOtC8aak,975985,2295,88,135
1263,Big Miracle,Qv-mWQUoXOg,832715,2922,122,379
1264,The Deep End of the Ocean,O3gEDCS1O5Q,371667,1042,27,129
1265,FearDotCom,EL34W_UIXVE,34837,169,19,29
1266,Cirque du Freak: The Vampire's Assistant,93FNs4lDgeI,1736174,4645,344,2032
1267,Duplex,1MY-AApJJtg,118391,480,37,24
1268,Soul Men,SrP7tzXuqqs,26504,244,3,19
1269,Raise the Titanic,pOF16kG8kDE,141678,655,32,166
1270,Universal Soldier: The Return,A7vcAN1BCdI,48653,396,17,0
1271,Pandorum,aLO5OACiXNg,434004,1951,118,110
1272,Impostor,Vh6xFG7l8ss,94418,390,28,111
1273,Extreme Ops,2ZoACTYqwbg,64645,124,16,28
1274,Just Visiting,gCuA7F9xc44,155816,405,45,64
1275,Sunshine,r8BSlqHAhuY,2820129,7760,660,1479
1276,A Thousand Words,N6AxRCP3e4s,882904,4840,122,249
1277,Delgo,5Gi8ZG7UE5Q,365079,534,715,475
1278,The Gunman,Ug9xufczPVE,4850719,6345,550,827
1279,Stormbreaker,AQ3mf6eTXQ0,44614,253,17,35
1280,Disturbia,gZWjvseFptg,327969,3283,57,210
1281,Hackers,Rn2cf_wJ4f4,512156,2304,75,280
1282,The Hunting Party,mrGwQvqj2iE,46707,224,43,25
1283,The Hudsucker Proxy,dBa8p0NFwM8,252774,676,28,81
1284,The Warlords,SGhfUq66ADQ,254721,504,25,93
1285,Nomad: The Warrior,2ZFhyrlergQ,54608,117,12,2
1286,Snowpiercer,nX5PwfEMBM0,8334761,43676,1348,3303
1287,A Monster in Paris,XkkNJYhZlHA,659804,2683,91,261
1288,The Last Shot,eP9upqeMGX4,82941,214,55,20
1289,The Crow,N5uPZ7ocsqA,2212124,13734,289,1004
1290,Baahubali: The Beginning,sOEg_YZQsTI,25657526,134192,9844,5946
1291,The Time Traveler's Wife,3_8WZxHScMk,4895397,36003,595,988
1292,Because I Said So,gAZQDjlaRnk,721883,1480,91,89
1293,Frankenweenie,29vIJQohUWE,560399,4862,139,0
1294,Serenity,w8JNjmK5lfk,918400,2268,147,186
1295,Against the Ropes,zfOonAJg61U,67912,202,16,15
1296,Superman III,-7qo4Iy0ULk,190669,707,57,130
1297,Grudge Match,1bQSOBJCPQE,4809043,16811,589,1658
1298,Red Cliff,pd0bqLQrtdE,1803845,5000,218,472
1299,Sweet Home Alabama,E2ySMc4iT04,1204628,9890,226,588
1300,The Ugly Truth,DvsZtGxsvV0,6407020,22123,692,590
1301,Sgt. Bilko,qMQBJM11N-Y,45988,152,4,13
1302,Spy Kids 2: The Island of Lost Dreams,8tTJ7kMgANg,249075,865,62,0
1303,Star Trek: Generations,KxVyLLHLmz4,32598,312,4,51
1304,The Grandmaster,uC5amKLgnFU,1976516,6687,290,1115
1305,Water for Elephants,OOPHFQZ5aiM,1087229,2961,80,234
1306,Dragon Nest: Warriors' Dawn,MVtIcB-cCVw,71651,261,20,10
1307,The Hurricane,YTzvLMUfwB8,688962,1778,66,177
1308,Enough,L1WWhWsvOZg,418405,3322,85,177
1309,Heartbreakers,xplT0169ACQ,18845,166,4,23
1310,Paul Blart: Mall Cop 2,b_ld3IJ0sUU,3431164,13207,1776,1748
1311,Angel Eyes,278Kbqjdks0,137185,462,15,27
1312,Joe Somebody,dBV0ceh2ON0,37772,126,4,14
1313,The Ninth Gate,IKc1n-nIIx0,607102,2568,134,240
1314,Extreme Measures,SBRFmU-3mf8,33586,156,4,14
1315,Rock Star,-NIXXXzzyiY,1251918,7298,220,287
1316,Precious,06ZF3zw1gHs,2832612,38945,629,1299
1317,White Squall,2T6WvayGd64,58571,400,13,89
1318,The Thing,Txjm94GnrPA,5425081,13446,1226,5629
1319,Riddick,iP3eFIOBU0k,1007703,4826,211,311
1320,Switchback,HeQmMOywsJA,95904,166,14,30
1321,Texas Rangers,BTwLLnBbot0,103252,218,18,12
1322,City of Ember,U4qNrdYmsj0,1243047,4260,190,629
1323,The Master,-EGSWpBDbho,1281606,10475,151,809
1324,Virgin Territory,UJ03oQaS5ac,2543856,770,273,13
1325,The Express,IaTcy1Vvbi0,543375,1394,38,88
1326,The 5th Wave,kmxLybfGNC4,20276293,98732,3909,8033
1327,Creed,Uv554B7YHk4,26921792,141993,3732,10234
1328,The Town,WcXt9aUMbBk,7395471,32170,972,1259
1329,What to Expect When You're Expecting,_8Um0DEEjkM,614945,2704,64,95
1330,Burn After Reading,SVCHSiRWjJM,1376647,4746,165,266
1331,Nim's Island,u-0sJcv-eu0,322111,1129,115,97
1332,Rush,4XA73ni9eVs,915683,8863,134,428
1333,Magnolia,KnamcFv_N9Q,800377,3955,127,372
1334,Cop Out,22RvcEgrpnE,266980,963,54,45
1335,How to Be Single,akwGjUeU6YA,3271035,8518,540,359
1336,Dolphin Tale,AJ_1eS2Erhk,1180892,5841,228,371
1337,Twilight,RHtluksWi44,222775,1837,61,132
1338,John Q,w-0_tN6O-5k,1153708,4657,178,355
1339,Blue Streak,TrwRAT5LtoM,402355,2257,68,72
1340,We're the Millers,0Vsy5KzsieQ,18103702,52011,2342,5444
1341,The Inhabited Island,7GLdFjNopc4,11458,15,1,5
1342,Breakdown,CY2fsjLxMag,39836,60,30,14
1343,Never Say Never Again,0RIICiAaEwI,325468,826,64,132
1344,Hot Tub Time Machine,EM0VwEkxWTg,567611,2965,143,137
1345,Dolphin Tale 2,vhxLMl5QEXw,656126,2845,185,282
1346,Reindeer Games,0856Uv4QmtI,188057,555,37,102
1347,A Man Apart,9kY3kk0QQY0,1768333,2583,144,324
1348,Aloha,O3mf_ewjc7s,10912115,25732,1793,2286
1349,Ghosts of Mississippi,nm8plXv5Yck,30484,95,3,15
1350,Snow Falling on Cedars,SY6mC4I4SWk,157396,539,23,71
1351,The Rite,nPtuzw1PXgU,267884,936,42,131
1352,Gattaca,W_KruQhfvW4,355890,3152,67,234
1353,Isn't She Great,MVs1IbOtxAU,22374,90,3,13
1354,Space Chimps,PiFnm57c8nU,247214,506,77,156
1355,Head of State,pQVK0IGYBTM,15179,126,3,10
1356,The Hangover,tcdUhdOlz9M,4213754,19306,678,591
1357,Ip Man 3,yo7z8c87Egg,4520200,16301,653,1190
1358,Austin Powers: The Spy Who Shagged Me,LGVjoLlgHbM,447490,1653,82,122
1359,Batman,AJmEaYsLYB8,5103509,200447,4596,11281
1360,There Be Dragons,0vA-s_rthrI,108453,209,63,74
1361,Lethal Weapon 3,PlJknryKpZs,176424,788,29,59
1362,The Blind Side,gvqj_Tk_kuM,5826393,50314,712,1090
1363,Spy Kids,GE5aHKJp6HI,1125827,5004,299,0
1364,Horrible Bosses,VpUeQV8sdOc,2221068,7186,226,362
1365,True Grit,CUiCu-zuAgM,6436912,12227,446,3658
1366,The Devil Wears Prada,6ZOZwUQKu3E,899161,7134,94,207
1367,Star Trek: The Motion Picture,wbvxV2OJQKk,44278,439,11,53
1368,Identity Thief,uO12W35DpsQ,5442805,16412,749,1101
1369,Cape Fear,NNw_ar7XVyQ,116782,677,22,76
1370,21,PsK1c9ZBpuw,5001408,8500,442,977
1371,Trainwreck,y_KP9x80Z9Q,13520067,9068,1309,889
1372,Guess Who,2Nef33uJ_VA,258100,1094,39,0
1373,The English Patient,Xk_LRcOFT0c,647935,2125,55,138
1374,L.A. Confidential,6sOXrY5yV4g,478457,1894,65,162
1375,Sky High,G7aMWVN1ThM,712225,4035,144,0
1376,In & Out,u8ZsUivELbs,3506160,45546,1299,2056
1377,Species,ECe9Yqltw_w,656031,2489,120,200
1378,A Nightmare on Elm Street,dCVh4lBfW-c,2317845,13115,415,1279
1379,The Cell,eIpy4p_yMV0,174980,1046,46,123
1380,The Man in the Iron Mask,CLwBmPZqiIY,609325,2960,100,208
1381,Secretariat,UKmuvjL2cVw,2323855,4414,180,271
1382,TMNT,VZZ0PnDZdZk,8836370,31269,3694,0
1383,Radio,bcfvpJvbYyU,618856,2460,106,282
1384,Friends with Benefits,firIlGzyEnI,4213057,12795,661,300
1385,Neighbors 2: Sorority Rising,X2i9Zz_AqTg,19010581,111561,5450,7267
1386,Saving Mr. Banks,a5kYmrjongg,6079393,18873,790,0
1387,Malcolm X,sx4sEvhYeVE,1999957,15177,362,1173
1388,This Is 40,gxkNuHrS6cg,2725115,5781,443,693
1389,Old Dogs,RhY8AP806tU,2176407,3047,328,458
1390,Underworld: Rise of the Lycans,7HCWQjIHJic,242527,1213,49,39
1391,License to Wed,eLmAhbrYenk,47160,269,16,10
1392,The Benchwarmers,DgLZGPfxpkM,197932,1129,49,77
1393,Must Love Dogs,7LoCg4I3ysw,12273,90,0,2
1394,Donnie Brasco,yRj2FKLsQbU,119732,1109,25,36
1395,Resident Evil,4q6UGCyHZCI,10981723,96744,23785,21053
1396,Poltergeist,9eZgEKjYJqA,2830410,11757,635,1160
1397,The Ladykillers,hFbqAM8SUDM,111703,307,21,4
1398,Max Payne,GklHaGfncJI,913955,4409,293,515
1399,In Time,YRSBiTF3wNw,2220523,17098,432,922
1400,The Back-Up Plan,cut4IW0oz1w,1356324,3594,115,114
1401,Something Borrowed,U2p1u13R-eE,3155615,14435,377,572
1402,Black Knight,6x_l_uqj0ig,16477,128,8,12
1403,The Bad News Bears,w1DDuN_eYlg,84042,484,18,123
1404,Street Fighter,0nFd7Iylj5A,1826487,20720,912,1108
1405,The Pianist,BFwGqLa_oAo,2518173,16880,337,622
1406,The Nativity Story,UiSfup00uZY,322968,1474,55,144
1407,House of Wax,ezUtqfB24Cg,132767,1217,38,85
1408,Closer,BdmOjfGTUzQ,2325945,15590,348,477
1409,J. Edgar,XULIO67YIRA,1457949,4522,165,439
1410,Mirrors,O92QxxgeCO8,8500861,21650,2430,2808
1411,Queen of the Damned,Akx-HYDaIus,350126,1798,93,103
1412,Predator 2,pLe_1SheJms,1086731,2595,84,447
1413,Untraceable,oIqnESZW0qc,932489,2474,142,285
1414,Blast from the Past,9_mi3qoA_QY,514847,2983,74,116
1415,Flash Gordon,VzFwECV8Kkk,581089,2266,115,269
1416,Jersey Girl,CL04A-DrIEQ,1096236,6428,136,84
1417,Alex Cross,Uw7PhPD31Ws,1484278,2306,112,344
1418,Midnight in the Garden of Good and Evil,8CD9ksgofU0,236362,778,34,74
1419,Heist,52TdOMqqeyk,3651243,44570,1166,1006
1420,Nanny McPhee and the Big Bang,hicMZpkl9-w,156367,216,18,14
1421,Hoffa,C7F3x3xBggo,92039,513,18,103
1422,The X Files: I Want to Believe,ETC6PxDFTRQ,252271,584,35,134
1423,Ella Enchanted,RdwLCHdY4lQ,713006,1872,117,83
1424,Concussion,Io6hPdC41RM,18850283,27366,2067,3305
1425,Abduction,CEVkp5Je7m0,8069309,25300,1084,1856
1426,Valiant,tQotjdQ4Lkw,333363,1651,69,0
1427,Wonder Boys,SO_sXk-lR7A,63168,469,18,58
1428,Superhero Movie,xV2rUbNVC7w,1108737,2910,172,241
1429,Broken City,wLZHLIk3YMI,327819,1221,69,96
1430,Cursed,xLTdy6PfotA,5251306,111106,5139,8422
1431,Premium Rush,Pn6ie1zCkZU,5044144,17399,918,2481
1432,Hot Pursuit,fUeOBdxSjc8,11152392,50433,1713,1262
1433,The Four Feathers,JjB6a_Op1bM,208450,649,27,52
1434,Parker,QGu6InUcdUY,1017683,4085,174,83
1435,Wimbledon,0fKtglMo5qw,1010982,5880,118,181
1436,Furry Vengeance,FQAx4_So3UE,287606,1328,141,196
1437,Bait,TSUUBiHea68,520898,1467,94,135
1438,Krull,ndpV6qfQJVw,555659,1444,48,308
1439,Lions for Lambs,0n02lrQ_5Vo,305632,903,71,67
1440,Flight of the Intruder,4aWLk36djRE,95811,373,18,25
1441,Walk Hard: The Dewey Cox Story,4W3zQkGpzC0,274105,1064,49,71
1442,The Shipping News,wLPKXPviEqU,58374,179,7,7
1443,American Outlaws,vd-Ed4HB0-I,287418,684,45,70
1444,The Young Victoria,q-YPoBU7_aQ,381742,1559,23,69
1445,Whiteout,GqxjF9qR5Cg,356300,817,90,49
1446,The Tree of Life,RrAz1YLh8nY,2145936,13071,294,960
1447,Knock Off,dE9Uvyancvk,28998,351,8,3
1448,Sabotage,8HDArXZgrsE,4488306,9241,626,886
1449,The Order,iD-cFgDDuqM,4192475,51428,2872,4235
1450,Punisher: War Zone,liABMxEvPAc,3473279,4782,1322,1226
1451,Zoom,hkmYrChoTf0,742733,5714,280,415
1452,The Walk,4W6byFcD5uE,6325202,27381,1121,1846
1453,Warriors of Virtue,-4STNypFBh0,300886,1861,54,485
1454,A Good Year,bKKrLj5ZHiM,446313,1152,41,73
1455,Radio Flyer,hgfqCYdEgrI,6313,27,0,0
1456,Bound by Honor,NMj89zgI8Yc,621684,3552,110,311
1457,Smilla's Sense of Snow,sr7svnup0Dk,89639,275,11,34
1458,Femme Fatale,NARERsn4sQs,238226,570,41,19
1459,Lion of the Desert,s_lpj5k0TnU,266346,1266,65,108
1460,The Horseman on the Roof,T98FhmNPzkU,25619,104,2,8
1461,Ride with the Devil,F8Vwm6dBQI8,138062,437,28,99
1462,Biutiful,3WzJcwGA6YM,764971,2471,72,131
1463,Bandidas,gEoz9mpxBVg,577427,1589,86,80
1464,Black Water Transit,rpy1WTfAFvg,14937,39,10,12
1465,The Maze Runner,AwwbhhjQ9Xk,13952750,88031,1722,5506
1466,Unfinished Business,8yb9Dn2mnMg,3517176,4345,321,256
1467,The Age of Innocence,I3Mx8OSlNYM,201651,1279,25,105
1468,The Fountain,m8IlyFCbNZg,618723,4624,111,363
1469,Chill Factor,CCtvz4eQ6Q0,46034,181,11,22
1470,Stolen,rpMxOjUjweA,4238579,4148,1344,1818
1471,Ponyo,CsR3KVgBzSM,4399124,33142,1114,1737
1472,The Longest Ride,FUS_Q7FsfqU,17456391,62524,1622,2127
1473,The Astronaut's Wife,pu_TmXgGEG8,415213,1490,61,143
1474,I Dreamed of Africa,Idk7EgjUQv0,87091,262,16,10
1475,Playing for Keeps,ez9U9bw4XwM,2120145,3200,242,423
1476,Mandela: Long Walk to Freedom,GAglZjX3HOk,913604,5424,147,702
1477,Reds,Pj0wz7zu3Ms,4773971,86991,2389,4483
1478,A Few Good Men,cXMNGokxbQA,389279,2955,50,130
1479,Exit Wounds,krZfAnQLqew,451906,1926,70,169
1480,Big Momma's House,iTk15I5GZsA,125539,416,16,27
1481,Thunder and the House of Magic,Tb4fZLrjtSY,2491294,7305,561,0
1482,The Darkest Hour,VUznviXV-U8,5509934,7821,1038,3143
1483,Step Up Revolution,aEAt9eTi72w,3682219,5065,305,649
1484,Snakes on a Plane,a72xIBcRi48,1401923,5431,596,73
1485,The Watcher,QaNyjieDxd0,129288,473,16,120
1486,The Punisher,s4QV6OZdmWY,2684148,34678,457,1460
1487,Goal!: The Dream Begins,JC5oaVR9QYA,414162,1592,58,47
1488,Safe,gU-wjVD_58c,6165069,8268,273,205
1489,Pushing Tin,A2S6ys_XZCU,92978,235,13,25
1490,Return of the Jedi,7L8p7_SLzvU,1207933,16098,162,1603
1491,Doomsday,-M0fIbx-irk,704079,1525,146,184
1492,The Reader,4_NSEZm8sIo,88546,386,10,25
1493,Wanderlust,Oz7xMY1AbbI,4019690,6414,420,605
1494,Elf,a54yC1etmVc,680896,2429,118,152
1495,Phenomenon,onEXmLX2ZZQ,2476596,26321,1113,5127
1496,Snow Dogs,UBgBG2XTyug,127949,503,30,38
1497,Scrooged,3OLRQfMOXOw,80198,471,18,37
1498,Nacho Libre,ElVSw6xpQ70,847422,1943,223,98
1499,Bridesmaids,FNppLrmdyug,4860505,9912,590,660
1500,This Is the End,kliQSsD_npo,1985708,14705,383,1211
1501,Stigmata,rwsTYQ26QDQ,691396,2576,118,226
1502,Men of Honor,E21xH5vg0yo,530339,1850,66,88
1503,Takers,Z1JXKCProqA,877484,3333,133,262
1504,The Big Wedding,SnD2EacXk0E,6040840,11428,526,462
1505,"Big Mommas: Like Father, Like Son",e3J29PNvIhY,1421457,8594,338,1
1506,Source Code,mnJegNyAb1w,8321482,17020,416,1402
1507,Alive,jQ8CCg1tOqc,5108273,70426,2229,5739
1508,The Number 23,TUTlOC4mVQ8,1090942,3554,193,861
1509,The Young and Prodigious T.S. Spivet,8XWoGBVPkgE,25146,201,8,18
1510,1941,6_KOLqpo7z8,328753,846,54,142
1511,Dreamer: Inspired By a True Story,GzTOUGXx3LU,184537,289,14,10
1512,A History of Violence,74FdnDxptH4,661695,1516,79,156
1513,Transporter 2,rEggzzOVOyo,729667,1507,177,25
1514,The Quick and the Dead,8FbuXkp18H8,152350,519,50,55
1515,Laws of Attraction,ok3grGQRaSc,459544,2159,77,71
1516,Bringing Out the Dead,8TMg9WlKgsU,178766,905,31,69
1517,Repo Men,jl9Nvg4yuus,4604051,5614,846,1918
1518,Dragon Wars: D-War,-GQ07VZdnDA,129706,345,24,11
1519,Bogus,6XhSSlaIlow,97894,592,26,62
1520,The Incredible Burt Wonderstone,kn1wR1V9dqs,1908461,5609,171,626
1521,Cats Don't Dance,B7KpF7BF0ew,206182,1627,44,0
1522,Cradle Will Rock,AMmGSItJTJI,39636,119,7,
1523,The Good German,jVLZ1LUO8fU,24352,123,6,19
1524,George and the Dragon,dgfF7lZa9R4,47636,192,18,12
1525,Apocalypse Now,FTjG-Aux_yQ,1265194,7651,226,390
1526,Going the Distance,hU4YbHeoYGs,444903,1851,46,41
1527,Mr. Holland's Opus,jPt_INy_CtM,81870,417,13,39
1528,Criminal,aHghr4qTpJI,153257,842,36,30
1529,Out of Africa,2EW2kNCmZZ0,720547,1796,97,175
1530,Flight,Aqn2L6kQQt8,2019228,8437,321,545
1531,Moonraker,KFOOjYU16KE,500150,2124,81,290
1532,The Grand Budapest Hotel,1Fg5iWmQjwk,13194113,59387,1316,3088
1533,Hearts in Atlantis,fezGyVi4Sfw,37466,169,6,16
1534,Arachnophobia,4aQ6vg3JB2U,1834852,3710,265,936
1535,Frequency,jdACpDDpIUs,126873,712,10,105
1536,Vacation,kleG7XCqOb4,6236985,20723,1292,1327
1537,Get Shorty,yNLaTtpovys,302862,745,37,61
1538,Chicago,9EpaMmF9WVU,1032146,4428,136,118
1539,Big Daddy,jxnccxgybUI,191939,1573,37,56
1540,American Pie 2,FLWu4KewJlU,1026349,3494,189,89
1541,Toy Story,rNk1Wi8SvNc,4886506,18348,4443,754
1542,Speed,8piqd2BWeGI,626097,4085,89,366
1543,The Vow,PcL24s-S6ns,5456925,28681,516,724
1544,Extraordinary Measures,cmnMdwYAhTY,207748,275,20,36
1545,Remember the Titans,35MvdHBWjwU,168049,1087,17,53
1546,The Hunt for Red October,3C2tE7vjdHk,1022705,2412,121,386
1547,The Butler,FuojHqfe4Vk,1873404,4407,416,1505
1548,DodgeBall: A True Underdog Story,W-XbDZUnUmw,848070,1801,116,80
1549,The Addams Family,F7Ug863S8dQ,5504706,44365,5068,0
1550,Ace Ventura: When Nature Calls,T8aos7_L4kA,67919,257,9,20
1551,The Princess Diaries,CzcGwB7qat8,306974,2421,37,0
1552,The First Wives Club,RAZZJnab5nU,226359,1267,27,53
1553,Se7en,znmZoVkCjpI,4952297,20307,474,1215
1554,District 9,DyLUwOcR5pk,6283394,25671,943,2906
1555,The SpongeBob SquarePants Movie,47ceXAEr2Oo,104947,1008,31,0
1556,Mystic River,W7NktJhrRYQ,1588714,5515,216,487
1557,Million Dollar Baby,5_RsHRmIRBY,1948372,7632,223,398
1558,Analyze This,rS-5L1-7BY4,410629,2080,49,208
1559,The Notebook,yDJIcYE32NU,5583997,31357,943,1615
1560,27 Dresses,J9DzAjOe7sY,904256,7858,137,119
1561,Hannah Montana: The Movie,WJX1_pbEh9g,592418,2511,156,32
1562,Rugrats in Paris: The Movie,hQkbeurqfQo,51826,251,18,0
1563,The Prince of Tides,gyy_A4wNQa8,408227,965,40,134
1564,Legends of the Fall,QmfxbiMbASI,326684,1937,37,174
1565,Up in the Air,TSzVgkGvB1E,142673,850,29,42
1566,About Schmidt,G-dafG40eGU,411837,1108,53,97
1567,Warm Bodies,07s-cNFffDM,16350866,91466,2682,14949
1568,Looper,2iQuhsmtfHw,9612381,24435,914,4988
1569,Down to Earth,YB2yDsL9BWc,157134,751,27,38
1570,Babe,yuzXPzgBDvo,484162,1553,104,0
1571,Hope Springs,-s22_Mvikl8,1547796,2339,150,331
1572,Forgetting Sarah Marshall,K4xD8ZMdJms,2566782,7327,285,169
1573,Four Brothers,YP6s4xoufzg,215501,1749,36,163
1574,Baby Mama,GOlHAEajMi4,1064423,2376,156,87
1575,Hope Floats,nNVbi6tGhrg,1006649,1837,90,154
1576,Bride Wars,KBDE4uznmIw,687961,2852,85,90
1577,Without a Paddle,af1TBKoCR2k,585257,3763,115,99
1578,13 Going on 30,5UrCaXLBN30,2428951,24885,485,704
1579,Midnight in Paris,FAfR8omt-CY,2085289,11121,252,454
1580,The Nut Job,fq4qP2oSpIA,3330144,5445,928,0
1581,Blow,scWkP1GdnuU,4562976,15093,528,792
1582,Message in a Bottle,Ur9xLzOJNIs,506041,2331,87,131
1583,Star Trek V: The Final Frontier,7S5TDrAWBd8,21094,228,15,51
1584,Like Mike,HTHJyw1UsLM,12871108,54891,3487,0
1585,The Naked Gun 33⅓: The Final Insult,9BrYBoCk1aw,1750511,4409,421,83
1586,A View to a Kill,buOK9kJIJA4,259695,888,30,118
1587,The Curse of the Were-Rabbit,566_PBg6jkE,935827,1106,124,0
1588,P.S. I Love You,CZzW6_hR068,5125055,15206,435,510
1589,Racing Stripes,bjYd51_zoVk,631259,1104,93,162
1590,Atonement,fiv8Gy5CJ0Y,559870,4492,76,117
1591,Letters to Juliet,8j0qMY-LeKM,2111190,31034,358,371
1592,Black Rain,95-bc1DZovg,639594,1366,59,220
1593,The Three Stooges,Z4IoUo_ZJkY,5839520,15476,4687,4415
1594,Corpse Bride,AGACeWVdFqo,1387129,12736,214,319
1595,Glory Road,uEd69QSBI0s,603252,1954,56,0
1596,Sicario,G8tlEcnrGnU,6903446,22857,778,1598
1597,Southpaw,Mh2ebPxhoLs,22775690,86304,2700,4868
1598,Drag Me to Hell,PPOaxHqoYxo,1529293,14287,405,3
1599,The Age of Adaline,7UzSekc0LoQ,9415727,47948,859,2069
1600,Secondhand Lions,Ebkrm7u44UI,1127406,5938,159,221
1601,Step Up 3D,TZe1Qz2twbE,1088484,3053,87,19
1602,Blue Crush,xS6HmLPemWI,409779,1369,60,84
1603,Stranger Than Fiction,0iqZD-oTE7U,352542,2480,55,164
1604,30 Days of Night,OtU0UBnWik4,862361,7124,261,400
1605,The Cabin in the Woods,NsIilFNNmkY,10190005,26738,1400,3251
1606,Meet the Spartans,RY-zJtYYolo,1247528,3739,472,341
1607,Midnight Run,B1_N28DA3gY,522555,1284,54,231
1608,The Running Man,n74ibtuN9I4,49078,169,7,39
1609,Little Shop of Horrors,QqFZuR6UzjA,722186,4033,216,205
1610,Hanna,u73CLdHpbNk,2370103,12337,478,563
1611,Mortal Kombat: Annihilation,ObHbkrh8qZM,1265979,7051,351,993
1612,Larry Crowne,1UNtrqRG7GA,400310,1257,61,80
1613,Carrie,YuO26oJQLVs,902984,6276,175,624
1614,Take the Lead,8LK9HWSvBEk,55461,238,7,8
1615,Gridiron Gang,KxJHxL7pi54,147053,1331,23,40
1616,What's the Worst That Could Happen?,_4FplN83yIM,352406,1115,55,52
1617,9,_qApXdc1WPY,4411860,27550,1419,4311
1618,Side Effects,EFEou3MBLi4,3583293,4671,359,642
1619,The Prince & Me,nobF8WLI52U,1111400,12964,159,227
1620,Winnie the Pooh,QbFz--GCkOM,3585730,16645,526,2856
1621,Dumb and Dumberer: When Harry Met Lloyd,n4D5PX-uZ2U,25726,184,18,20
1622,Bulworth,PWca7MI-RBs,54468,288,20,46
1623,Get on Up,0F_pxMmOG4I,1119677,7945,154,617
1624,One True Thing,lXJv1BQr1iI,259630,814,27,66
1625,Virtuosity,UKuwEntIa74,51401,266,17,15
1626,My Super Ex-Girlfriend,kj4j_ZmKCqc,265549,810,47,43
1627,Deliver Us from Evil,YWDM_p68HAQ,1500088,6421,284,391
1628,Sanctum,OgW7L2uq2VM,2578811,11042,677,570
1629,Little Black Book,aCz7zxl6-G0,257599,1683,53,65
1630,The Five-Year Engagement,IoRF_Bzuwtk,1916207,6205,218,481
1631,Mr. 3000,DS-AID2YPiU,12637,116,3,13
1632,The Next Three Days,v9Yhj414JIY,346587,1516,78,1
1633,Ultraviolet,lzJfZqXsKMA,899377,3873,221,427
1634,Assault on Precinct 13,7wnAjYDVObs,112387,721,21,133
