,movie,vid_ids,views,likes,dislikes,comments
223,The Chronicles of Riddick,LCrDo3eCXkw,1823322,3749,238,242
224,RoboCop,6tC_5mp3udE,527629,3798,115,511
225,Speed Racer,8V8sLlqJB2w,964563,5790,319,0
226,How Do You Know,bS7CmZdhwmQ,2090467,3775,245,361
227,Knight and Day,JGPl86DBNNs,5279678,29539,592,1371
228,Oblivion,XmIIgE7eSak,9169102,30131,1249,4531
229,Star Wars: Episode III - Revenge of the Sith,5UnjrG_N8hU,6191046,107915,2070,10578
230,Star Wars: Episode II - Attack of the Clones,gYbW1F_c9eM,2908001,18424,685,2230
231,"Monsters, Inc.",CGbgaHoapFM,309708,1154,117,0
232,The Wolverine,toLpchTUYk8,2097386,10214,334,866
233,Star Wars: Episode I - The Phantom Menace,bD7bpG-zDJQ,4998509,26845,1339,3533
234,The Croods,4fVCKy69zUY,13982124,28370,4161,0
235,Asterix at the Olympic Games,foyviMfOaDU,493161,394,38,102
236,Windtalkers,KOmH0_F8_XI,754090,1616,95,185
237,The Huntsman: Winter's War,eAvCgVR0gIM,9008957,41933,1288,3780
238,Teenage Mutant Ninja Turtles,VZZ0PnDZdZk,8836370,31269,3694,0
239,Gravity,OiTiKOy59o4,19308472,57370,4648,12203
240,Dante's Peak,js_9broS1NI,81525,475,15,37
241,Teenage Mutant Ninja Turtles: Out of the Shadows,3CKgLNGfdSM,5909271,31199,2097,0
242,Fantastic Four,_rRoD28-WgU,12691340,47601,10105,7527
243,Night at the Museum,Ltba1_-tRT4,76152,585,25,0
244,San Andreas,23VflsU3kZE,26598254,79058,4502,7650
245,Tomorrow Never Dies,eqrk7-mx2D0,642386,2450,87,268
246,The Patriot,Clh5qDQ1-lI,101974,802,27,82
247,Ocean's Twelve,k9uhRSLMORw,159373,787,25,27
248,Mr. & Mrs. Smith,CZ0B22z22pI,2283176,20006,380,742
249,Insurgent,IR-l_TSjlEo,12673916,60259,2311,4422
250,The Aviator,FebPJlmgldE,2599897,9162,236,509
251,Gulliver's Travels,J-wXbyEQ5TM,1106495,5268,372,416
252,The Green Hornet,PMA-taGtfXs,2796934,5862,414,1562
253,300: Rise of an Empire,2zqy21Z29ps,18161048,60385,2757,16617
254,The Smurfs,yhBpgqXwrt8,3399851,5436,1386,977
255,Home on the Range,ZuTQR6xSbNM,665323,744,117,237
256,Allegiant,tE8LEPSTK6A,4948757,19513,1161,1743
257,Real Steel,T75j9CoBVzE,2095063,7703,333,1282
258,The Smurfs 2,Kh1PTKTgCDk,357509,1082,114,72
259,Speed 2: Cruise Control,Lnvvh9PLWGQ,278223,742,91,58
260,Ender's Game,2SRizeR4MmU,4800719,16342,904,3340
261,Live Free or Die Hard,8Jz-8UcCiws,716723,2009,79,186
262,The Lord of the Rings: The Fellowship of the Ring,V75dMMIW2B4,4708279,21699,589,2019
263,Around the World in 80 Days,vjiCO8k6Jhg,832481,2788,162,301
264,Ali,STuHQ5HpmEE,3227943,56997,1361,1684
265,The Cat in the Hat,oIPq9Kp-9A0,226519,1304,140,
266,"I, Robot",7Dlo-VB0-HI,477583,3528,106,179
